"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2020","National excluding Dublin - houses","Base Jan 2005 = 100","104.6"
"Residential Property Price Index","2020","National excluding Dublin - apartments","Base Jan 2005 = 100","79.6"
"Residential Property Price Index","2020","Border excluding Louth - houses","Base Jan 2005 = 100","80.3"
"Residential Property Price Index","2020","Midland - houses","Base Jan 2005 = 100","95.4"
"Residential Property Price Index","2020","West - houses","Base Jan 2005 = 100","104.2"
"Residential Property Price Index","2020","Mid-East including Louth - houses","Base Jan 2005 = 100","113.3"
"Residential Property Price Index","2020","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","96.1"
"Residential Property Price Index","2020","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","100"
"Residential Property Price Index","2020","South-West - houses","Base Jan 2005 = 100","114.7"
"Residential Property Price Index","2021","National - all residential properties","Base Jan 2005 = 100","116.9"
"Residential Property Price Index","2021","National - houses","Base Jan 2005 = 100","120.9"
"Residential Property Price Index","2021","National - apartments","Base Jan 2005 = 100","96.8"
"Residential Property Price Index","2021","Dublin - all residential properties","Base Jan 2005 = 100","112.5"
"Residential Property Price Index","2021","Dublin - houses","Base Jan 2005 = 100","118.8"
"Residential Property Price Index","2021","Dublin - apartments","Base Jan 2005 = 100","94.7"
"Residential Property Price Index","2021","Dublin City - houses","Base Jan 2005 = 100","120"
"Residential Property Price Index","2021","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","116.6"
"Residential Property Price Index","2021","Fingal - houses","Base Jan 2005 = 100","112.7"
"Residential Property Price Index","2021","South Dublin - houses","Base Jan 2005 = 100","119.7"
"Residential Property Price Index","2021","National excluding Dublin - all residential properties","Base Jan 2005 = 100","112.5"
